,source,text,retweet_count,favorite_count,is_retweet,id_str,date,time,hour,week,time_start,time_end,duration,listed_title,top_category,listed_location
32,TWITTER FOR IPHONE,OF COURSE WE SHOULD HAVE CAPTURED OSAMA BIN LADEN LONG BEFORE WE DID. I POINTED HIM OUT IN MY BOOK JUST BEFORE THE ATTACK ON THE WORLD TRADE CENTER. PRESIDENT CLINTON FAMOUSLY MISSED HIS SHOT. WE PAID PAKISTAN BILLIONS OF DOLLARS &AMP; THEY NEVER TOLD US HE WAS LIVING THERE. FOOLS!..,37999.0,148642.0,FALSE,1.06454E+18,2018-11-19,15:26:00,15,3.0,14:45:00,15:30:00,0.75,POLICY TIME,MEETING,OVAL OFFICE
33,TWITTER FOR IPHONE,“‘TRUMP IMITATION SYNDROME’ IS AFFLICTING THE PRESIDENT’S LIBERAL ENEMIES” THANK YOU @MGOODWIN_NYPOST! HTTPS://T.CO/KPMSRKCABZ,11275.0,42332.0,FALSE,1.06525E+18,2018-11-21,14:16:00,14,3.0,08:00:00,17:00:00,NO DATA,NO DATA,NO_DATA,NO_DATA
34,TWITTER FOR IPHONE,GREAT NEW BOOK OUT “MAD POLITICS: KEEPING YOUR SANITY IN A WORLD GONE CRAZY” BY @REALDRGINA LOUDON. GO OUT AND GET YOUR COPY TODAY — A GREAT READ!,12836.0,55311.0,FALSE,1.06526E+18,2018-11-21,15:13:00,15,3.0,08:00:00,17:00:00,NO DATA,NO DATA,NO_DATA,NO_DATA
35,TWITTER FOR IPHONE,OIL PRICES GETTING LOWER. GREAT! LIKE A BIG TAX CUT FOR AMERICA AND THE WORLD. ENJOY! $54 WAS JUST $82. THANK YOU TO SAUDI ARABIA BUT LET’S GO LOWER!,30478.0,115893.0,FALSE,1.06523E+18,2018-11-21,12:49:00,12,3.0,08:00:00,17:00:00,NO DATA,NO DATA,NO_DATA,NO_DATA
36,TWITTER FOR IPHONE,MAKE AMERICA GREAT AGAIN!,42711.0,195294.0,FALSE,1.06523E+18,2018-11-21,12:50:00,12,3.0,08:00:00,17:00:00,NO DATA,NO DATA,NO_DATA,NO_DATA
37,TWITTER FOR IPHONE,HTTPS://T.CO/Y4CHCFEDKE,22174.0,85521.0,FALSE,1.06562E+18,2018-11-22,15:12:00,15,3.0,08:00:00,17:00:00,NO DATA,NO DATA,NO_DATA,NO_DATA
38,TWITTER FOR IPHONE,WILL BE SPEAKING WITH OUR GREAT MILITARY IN DIFFERENT PARTS OF THE WORLD THROUGH TELECONFERENCE AT 9:00 A.M. EASTERN. THEN IT WILL BE OFF TO SEE OUR COAST GUARD PATRIOTS &AMP; TO THANK THEM FOR THE GREAT JOB THEY HAVE BEEN DOING ESPECIALLY WITH THE HURRICANES. HAPPY THANKSGIVING!,16717.0,84492.0,FALSE,1.0656E+18,2018-11-22,13:42:00,13,3.0,08:00:00,17:00:00,NO DATA,NO DATA,NO_DATA,NO_DATA
39,TWITTER FOR IPHONE,....AND SAFETY AT THE BORDER OR ANYWHERE ELSE. THEY KNOW NOTHING ABOUT IT AND ARE MAKING OUR COUNTRY UNSAFE. OUR GREAT LAW ENFORCEMENT PROFESSIONALS MUST BE ALLOWED TO DO THEIR JOB! IF NOT THERE WILL BE ONLY BEDLAM CHAOS INJURY AND DEATH. WE WANT THE CONSTITUTION AS WRITTEN!,23501.0,97395.0,FALSE,1.06558E+18,2018-11-22,12:30:00,12,3.0,08:00:00,17:00:00,NO DATA,NO DATA,NO_DATA,NO_DATA
40,TWITTER FOR IPHONE,HAPPY THANKSGIVING TO ALL!,33877.0,202283.0,FALSE,1.06558E+18,2018-11-22,12:01:00,12,3.0,08:00:00,17:00:00,NO DATA,NO DATA,NO_DATA,NO_DATA
41,TWITTER FOR IPHONE,“IT’S A MEAN &AMP; NASTY WORLD OUT THERE THE MIDDLE EAST IN PARTICULAR. THIS IS A LONG AND HISTORIC COMMITMENT &AMP; ONE THAT IS ABSOLUTELY VITAL TO AMERICA’S NATIONAL SECURITY.” @SECPOMPEO  I AGREE 100%. IN ADDITION MANY BILLIONS OF DOLLARS OF PURCHASES MADE IN U.S. BIG JOBS &AMP; OIL!,12844.0,57554.0,FALSE,1.06558E+18,2018-11-22,11:58:00,11,3.0,08:00:00,17:00:00,NO DATA,NO DATA,NO_DATA,NO_DATA
